id       ,user_id,opponent_race_result_id,result,type    ,drift_points,settings,created_at                ,updated_at,coins_reward,elo_delta,opponent_elo_delta
129307608,1502894,128911836              ,them  ,battle  ,            ,        ,2017-02-01 00:01:13.711893,          ,7000        ,-5       ,12
129307609,76118  ,128611085              ,them  ,battle  ,637         ,        ,2017-02-01 00:01:13.848119,          ,7000        ,-5       ,10
129307610,2926044,129144025              ,us    ,battle  ,3985        ,        ,2017-02-01 00:01:13.881767,          ,3800        ,11       ,-5
129307611,2898813,129305997              ,them  ,battle  ,1714        ,        ,2017-02-01 00:01:14.36188 ,          ,700         ,-5       ,10
129307612,2933560,129174917              ,them  ,battle  ,3593        ,        ,2017-02-01 00:01:14.780298,          ,1700        ,-5       ,10
129307613,405417 ,129307368              ,them  ,quali   ,1547        ,        ,2017-02-01 00:01:14.788594,          ,1500        ,0        ,0
129307614,551858 ,128930183              ,us    ,battle  ,4706        ,        ,2017-02-01 00:01:14.857647,          ,9000        ,12       ,-5
129307615,481336 ,104057277              ,them  ,quali   ,3603        ,        ,2017-02-01 00:01:15.183841,          ,1500        ,0        ,0
129307616,2877779,129263222              ,us    ,battle  ,1841        ,        ,2017-02-01 00:01:16.15486 ,          ,7000        ,14       ,-5
129307617,2143556,128601891              ,them  ,quali   ,552         ,        ,2017-02-01 00:01:17.949056,          ,1500        ,0        ,0
129307618,1983821,128917382              ,them  ,battle  ,5461        ,        ,2017-02-01 00:01:18.160769,          ,7000        ,-5       ,12
129307619,837717 ,129305204              ,them  ,battle  ,1127        ,        ,2017-02-01 00:01:18.778945,          ,7000        ,-5       ,10
129307620,118898 ,128810462              ,them  ,battle  ,6058        ,        ,2017-02-01 00:01:18.788266,          ,7000        ,-5       ,10
129307621,2597312,102021480              ,them  ,quali   ,1654        ,        ,2017-02-01 00:01:19.108484,          ,1500        ,0        ,0
129307622,2919872,129260149              ,us    ,battle  ,3658        ,        ,2017-02-01 00:01:19.480581,          ,7000        ,21       ,-5
129307623,2103443,114908646              ,them  ,quali   ,722         ,        ,2017-02-01 00:01:19.520798,          ,1500        ,0        ,0
